Call Id,Agent,Date,Time,Topic,Answered (Y/N),Resolved,Speed of answer in seconds,AvgTalkDuration,AvgTalkDuration(Secs),Satisfaction rating
ID0508,Becky,09-01-2021,17:24:00,Streaming,Y,Y,42,00:06:58,418,2
ID0517,Becky,10-01-2021,09:08:38,Admin Support,Y,Y,23,00:00:48,48,3
ID0531,Becky,10-01-2021,11:47:02,Admin Support,N,N,,,0,
ID0539,Becky,10-01-2021,13:13:26,Contract related,Y,Y,100,00:00:41,41,4
ID0541,Becky,10-01-2021,13:48:00,Technical Support,Y,Y,24,00:04:29,269,4
ID0558,Becky,10-01-2021,16:00:29,Technical Support,Y,Y,103,00:02:56,176,4
ID0564,Becky,10-01-2021,16:42:14,Payment related,Y,Y,81,00:06:36,396,4
ID0565,Becky,10-01-2021,16:58:05,Streaming,Y,Y,121,00:01:04,64,3
ID0569,Becky,10-01-2021,17:25:26,Streaming,Y,Y,79,00:02:30,150,3
ID0580,Becky,11-01-2021,09:30:14,Payment related,Y,Y,110,00:05:32,332,2
ID0600,Becky,11-01-2021,11:05:17,Contract related,Y,Y,73,00:00:45,45,3
ID0604,Becky,11-01-2021,11:29:46,Technical Support,Y,N,75,00:03:33,213,4
ID0605,Becky,11-01-2021,11:36:58,Technical Support,Y,Y,34,00:04:31,271,3
ID0628,Becky,11-01-2021,14:13:55,Payment related,Y,N,62,00:03:59,239,4
ID0642,Becky,11-01-2021,15:12:58,Contract related,N,N,,,0,
ID0659,Becky,11-01-2021,17:48:29,Payment related,Y,Y,121,00:01:21,81,5
ID0661,Becky,11-01-2021,17:49:55,Contract related,Y,Y,45,00:01:20,80,4
ID0662,Becky,11-01-2021,17:49:55,Payment related,Y,Y,40,00:02:01,121,5
ID0666,Becky,12-01-2021,09:57:36,Contract related,Y,Y,119,00:06:51,411,5
ID0667,Becky,12-01-2021,10:12:00,Payment related,Y,Y,13,00:02:21,141,4
ID0683,Becky,12-01-2021,13:03:22,Streaming,Y,Y,43,00:03:20,200,4
ID0688,Becky,12-01-2021,13:37:55,Contract related,Y,Y,43,00:04:50,290,2
ID0706,Becky,12-01-2021,16:45:07,Technical Support,N,N,,,0,
ID0716,Becky,12-01-2021,17:06:43,Contract related,Y,Y,44,00:06:56,416,1
ID0721,Becky,13-01-2021,09:44:38,Technical Support,N,N,,,0,
ID0722,Becky,13-01-2021,09:44:38,Admin Support,Y,Y,62,00:02:25,145,3
ID0730,Becky,13-01-2021,11:06:43,Streaming,Y,Y,110,00:04:43,283,4
ID0734,Becky,13-01-2021,11:45:36,Payment related,Y,Y,70,00:01:31,91,3
ID0742,Becky,13-01-2021,12:40:19,Streaming,N,N,,,0,
ID0748,Becky,13-01-2021,14:48:29,Payment related,Y,Y,84,00:03:12,192,5
ID0750,Becky,13-01-2021,15:14:24,Streaming,Y,Y,73,00:01:34,94,3
ID0758,Becky,13-01-2021,17:58:34,Contract related,Y,Y,82,00:02:30,150,5
ID0771,Becky,14-01-2021,11:19:41,Contract related,Y,Y,41,00:04:03,243,2
ID0784,Becky,14-01-2021,12:33:07,Payment related,Y,Y,68,00:01:49,109,4
ID0798,Becky,14-01-2021,14:57:07,Technical Support,Y,Y,28,00:04:12,252,3
ID0799,Becky,14-01-2021,15:20:10,Streaming,Y,Y,107,00:01:39,99,4
ID0807,Becky,14-01-2021,16:39:22,Technical Support,N,N,,,0,
ID0815,Becky,14-01-2021,17:32:38,Streaming,Y,Y,17,00:02:33,153,1
ID0820,Becky,15-01-2021,09:40:19,Admin Support,Y,Y,82,00:06:22,382,3
ID0827,Becky,15-01-2021,11:38:24,Admin Support,Y,N,82,00:02:40,160,4
ID0834,Becky,15-01-2021,13:53:46,Payment related,Y,Y,77,00:03:00,180,1
ID0849,Becky,15-01-2021,16:37:55,Contract related,Y,Y,45,00:06:53,413,3
ID0851,Becky,15-01-2021,16:40:48,Admin Support,Y,Y,42,00:02:48,168,3
ID0858,Becky,15-01-2021,17:38:24,Payment related,N,N,,,0,
ID0859,Becky,15-01-2021,17:41:17,Streaming,Y,Y,24,00:05:30,330,5
ID0860,Becky,15-01-2021,17:41:17,Streaming,Y,Y,71,00:02:39,159,3
ID0862,Becky,15-01-2021,18:00:00,Streaming,Y,Y,63,00:05:25,325,1
ID0863,Becky,16-01-2021,09:00:00,Technical Support,Y,N,19,00:00:36,36,5
ID0868,Becky,16-01-2021,10:30:43,Technical Support,Y,Y,111,00:06:45,405,5
ID0873,Becky,16-01-2021,12:14:24,Streaming,N,N,,,0,
ID0875,Becky,16-01-2021,12:28:48,Payment related,Y,Y,19,00:01:23,83,3
ID0879,Becky,16-01-2021,12:56:10,Streaming,Y,Y,92,00:01:19,79,2
ID0899,Becky,16-01-2021,15:30:14,Streaming,Y,N,55,00:00:52,52,3
ID0904,Becky,16-01-2021,15:53:17,Contract related,Y,Y,33,00:05:02,302,4
ID0907,Becky,16-01-2021,16:36:29,Technical Support,Y,Y,61,00:06:14,374,3
ID0910,Becky,16-01-2021,16:52:19,Streaming,Y,Y,13,00:02:05,125,3
ID0916,Becky,16-01-2021,17:58:34,Admin Support,N,N,,,0,
ID0918,Becky,16-01-2021,18:00:00,Streaming,Y,Y,34,00:06:45,405,4
ID0919,Becky,17-01-2021,09:51:50,Technical Support,Y,Y,89,00:03:11,191,3
ID0940,Becky,17-01-2021,13:53:46,Technical Support,Y,Y,91,00:00:45,45,5
ID0946,Becky,17-01-2021,14:28:19,Streaming,Y,Y,118,00:00:52,52,4
ID0959,Becky,17-01-2021,16:29:17,Payment related,Y,Y,14,00:03:00,180,4
ID0963,Becky,17-01-2021,17:16:48,Streaming,N,N,,,0,
ID0967,Becky,17-01-2021,17:54:14,Admin Support,Y,Y,60,00:02:00,120,5
ID0985,Becky,18-01-2021,11:55:41,Admin Support,Y,Y,123,00:05:50,350,2
ID0995,Becky,18-01-2021,12:37:26,Streaming,N,N,,,0,
ID0996,Becky,18-01-2021,12:37:26,Admin Support,Y,N,101,00:04:36,276,3
ID1000,Becky,18-01-2021,12:41:46,Admin Support,Y,Y,31,00:02:30,150,4
ID1010,Becky,18-01-2021,15:18:43,Contract related,N,N,,,0,
ID1022,Becky,18-01-2021,17:18:14,Payment related,Y,Y,101,00:04:29,269,4
ID1024,Becky,18-01-2021,17:25:26,Technical Support,Y,Y,45,00:06:55,415,3
ID1033,Becky,19-01-2021,09:15:50,Technical Support,Y,Y,14,00:01:56,116,3
ID1040,Becky,19-01-2021,09:44:38,Payment related,Y,Y,10,00:03:11,191,2
ID1045,Becky,19-01-2021,10:33:36,Contract related,N,N,,,0,
ID1077,Becky,19-01-2021,15:30:14,Streaming,Y,Y,103,00:02:49,169,3
ID1078,Becky,19-01-2021,15:30:14,Technical Support,Y,Y,18,00:02:01,121,5
ID1081,Becky,19-01-2021,15:54:43,Admin Support,N,N,,,0,
ID1089,Becky,19-01-2021,17:15:22,Streaming,Y,Y,35,00:00:59,59,3
ID1103,Becky,20-01-2021,11:24:00,Payment related,Y,Y,43,00:00:56,56,3
ID1107,Becky,20-01-2021,12:07:12,Contract related,Y,Y,102,00:01:16,76,1
ID1112,Becky,20-01-2021,12:59:02,Streaming,Y,Y,101,00:03:22,202,5
ID1123,Becky,20-01-2021,16:00:29,Admin Support,Y,Y,72,00:04:11,251,2
ID1124,Becky,20-01-2021,16:00:29,Admin Support,Y,Y,60,00:06:32,392,3
ID1125,Becky,20-01-2021,16:20:38,Payment related,Y,Y,52,00:02:57,177,5
ID1128,Becky,20-01-2021,17:42:43,Contract related,Y,Y,108,00:02:20,140,4
ID1133,Becky,21-01-2021,09:20:10,Streaming,Y,Y,39,00:02:11,131,1
ID1145,Becky,21-01-2021,10:53:46,Streaming,Y,Y,57,00:01:47,107,4
ID1163,Becky,21-01-2021,16:20:38,Payment related,N,N,,,0,
ID1172,Becky,21-01-2021,17:26:53,Technical Support,N,N,,,0,
ID1184,Becky,22-01-2021,09:11:31,Streaming,Y,Y,85,00:05:24,324,4
ID1188,Becky,22-01-2021,09:48:58,Contract related,Y,Y,98,00:06:53,413,4
ID1189,Becky,22-01-2021,09:59:02,Technical Support,Y,Y,23,00:04:44,284,1
ID1191,Becky,22-01-2021,10:37:55,Technical Support,N,N,,,0,
ID1194,Becky,22-01-2021,11:39:50,Technical Support,Y,Y,46,00:06:05,365,3
ID1207,Becky,22-01-2021,14:44:10,Streaming,Y,Y,35,00:01:10,70,3
ID1211,Becky,22-01-2021,14:49:55,Admin Support,Y,N,54,00:03:15,195,5
ID1218,Becky,22-01-2021,16:01:55,Streaming,Y,Y,78,00:01:05,65,5
ID1221,Becky,22-01-2021,16:50:53,Contract related,N,N,,,0,
ID1230,Becky,22-01-2021,17:47:02,Streaming,Y,N,50,00:05:08,308,3
ID1235,Becky,23-01-2021,09:51:50,Payment related,Y,N,112,00:06:18,378,2
ID1244,Becky,23-01-2021,11:18:14,Payment related,Y,N,63,00:05:00,300,4
ID1253,Becky,23-01-2021,11:44:10,Streaming,Y,Y,22,00:06:12,372,3
ID1270,Becky,23-01-2021,14:52:48,Technical Support,N,N,,,0,
ID1271,Becky,23-01-2021,16:01:55,Payment related,Y,N,56,00:01:58,118,4
ID1306,Becky,24-01-2021,10:32:10,Contract related,N,N,,,0,
ID1309,Becky,24-01-2021,11:42:43,Technical Support,Y,Y,41,00:03:54,234,4
ID1314,Becky,24-01-2021,12:25:55,Payment related,Y,Y,51,00:06:44,404,3
ID1333,Becky,24-01-2021,17:16:48,Contract related,N,N,,,0,
ID1336,Becky,24-01-2021,17:25:26,Payment related,Y,Y,116,00:01:17,77,4
ID1344,Becky,25-01-2021,09:33:07,Payment related,Y,Y,57,00:05:45,345,4
ID1363,Becky,25-01-2021,12:00:00,Payment related,Y,Y,29,00:04:49,289,4
ID1373,Becky,25-01-2021,12:21:36,Technical Support,Y,Y,56,00:01:23,83,3
ID1379,Becky,25-01-2021,14:11:02,Contract related,Y,Y,54,00:04:11,251,3
ID1381,Becky,25-01-2021,14:11:02,Streaming,N,N,,,0,
ID1387,Becky,25-01-2021,14:34:05,Payment related,Y,Y,111,00:06:03,363,3
ID1391,Becky,25-01-2021,15:05:46,Payment related,N,N,,,0,
ID1396,Becky,25-01-2021,15:51:50,Contract related,N,N,,,0,
ID1399,Becky,25-01-2021,16:13:26,Streaming,Y,Y,109,00:05:46,346,3
ID1403,Becky,26-01-2021,09:05:46,Contract related,Y,Y,86,00:01:02,62,4
ID1408,Becky,26-01-2021,09:41:46,Payment related,Y,Y,13,00:03:53,233,3
ID1417,Becky,26-01-2021,10:52:19,Contract related,Y,Y,16,00:03:35,215,1
ID1418,Becky,26-01-2021,10:52:19,Technical Support,Y,Y,77,00:01:42,102,3
ID1426,Becky,26-01-2021,12:48:58,Streaming,N,N,,,0,
ID1440,Becky,26-01-2021,14:26:53,Technical Support,Y,Y,99,00:05:42,342,3
ID1457,Becky,26-01-2021,16:06:14,Payment related,N,N,,,0,
ID1459,Becky,26-01-2021,17:18:14,Contract related,Y,Y,38,00:06:58,418,1
ID1460,Becky,26-01-2021,17:18:14,Contract related,Y,Y,115,00:06:15,375,3
ID1465,Becky,27-01-2021,09:38:53,Technical Support,Y,Y,22,00:04:12,252,3
ID1496,Becky,27-01-2021,14:54:14,Payment related,Y,Y,32,00:04:42,282,3
ID1499,Becky,27-01-2021,15:23:02,Admin Support,Y,Y,10,00:06:04,364,5
ID1502,Becky,27-01-2021,15:40:19,Contract related,Y,N,10,00:03:42,222,4
ID1511,Becky,27-01-2021,17:00:58,Payment related,Y,Y,31,00:04:27,267,1
ID1535,Becky,28-01-2021,11:21:07,Payment related,Y,Y,66,00:05:44,344,4
ID1536,Becky,28-01-2021,11:21:07,Admin Support,Y,Y,65,00:01:51,111,5
ID1537,Becky,28-01-2021,11:29:46,Admin Support,Y,Y,22,00:05:02,302,3
ID1540,Becky,28-01-2021,11:54:14,Admin Support,Y,Y,124,00:01:38,98,4
ID1542,Becky,28-01-2021,11:55:41,Contract related,Y,Y,90,00:03:49,229,3
ID1544,Becky,28-01-2021,12:46:05,Streaming,Y,Y,123,00:00:41,41,4
ID1558,Becky,28-01-2021,14:57:07,Technical Support,N,N,,,0,
ID1584,Becky,29-01-2021,10:20:38,Payment related,N,N,,,0,
ID1607,Becky,29-01-2021,13:37:55,Contract related,Y,Y,14,00:02:10,130,4
ID1613,Becky,29-01-2021,14:49:55,Contract related,Y,Y,23,00:00:45,45,4
ID1624,Becky,29-01-2021,15:51:50,Payment related,N,N,,,0,
ID1634,Becky,30-01-2021,09:05:46,Payment related,Y,Y,84,00:04:58,298,5
ID1638,Becky,30-01-2021,09:53:17,Payment related,Y,N,92,00:02:01,121,5
ID1645,Becky,30-01-2021,10:40:48,Payment related,Y,Y,22,00:00:43,43,3
ID1662,Becky,30-01-2021,12:44:38,Streaming,Y,Y,69,00:06:58,418,2
ID1664,Becky,30-01-2021,12:48:58,Payment related,Y,N,98,00:06:11,371,5
ID1668,Becky,30-01-2021,13:03:22,Technical Support,Y,Y,27,00:02:47,167,5
ID1669,Becky,30-01-2021,13:39:22,Admin Support,Y,Y,88,00:06:12,372,5
ID1676,Becky,30-01-2021,14:11:02,Technical Support,Y,Y,78,00:05:41,341,2
ID1679,Becky,30-01-2021,15:00:00,Payment related,Y,Y,19,00:05:57,357,1
ID1690,Becky,30-01-2021,16:13:26,Admin Support,N,N,,,0,
ID1691,Becky,30-01-2021,16:19:12,Technical Support,Y,Y,91,00:00:50,50,3
ID1700,Becky,30-01-2021,16:52:19,Contract related,Y,Y,53,00:03:40,220,1
ID1710,Becky,30-01-2021,17:29:46,Contract related,Y,N,33,00:03:56,236,4
ID1714,Becky,31-01-2021,09:00:00,Payment related,Y,Y,114,00:05:42,342,4
ID1717,Becky,31-01-2021,09:14:24,Technical Support,Y,Y,30,00:00:59,59,5
ID1722,Becky,31-01-2021,09:27:22,Streaming,Y,Y,16,00:05:36,336,5
ID1747,Becky,31-01-2021,14:05:17,Payment related,Y,Y,95,00:02:27,147,4
ID1748,Becky,31-01-2021,14:05:17,Streaming,Y,Y,17,00:05:25,325,3
ID1762,Becky,31-01-2021,16:09:07,Contract related,Y,Y,81,00:03:26,206,2
ID1766,Becky,31-01-2021,16:20:38,Contract related,Y,Y,49,00:01:58,118,3
ID1767,Becky,31-01-2021,16:56:38,Contract related,Y,Y,58,00:04:42,282,5
ID1775,Becky,01-02-2021,09:24:29,Technical Support,Y,Y,44,00:02:15,135,2
ID1778,Becky,01-02-2021,09:25:55,Payment related,Y,N,125,00:06:46,406,4
ID1781,Becky,01-02-2021,09:37:26,Contract related,N,N,,,0,
ID1785,Becky,01-02-2021,10:32:10,Admin Support,N,N,,,0,
ID1809,Becky,01-02-2021,13:46:34,Contract related,N,N,,,0,
ID1811,Becky,01-02-2021,13:50:53,Payment related,Y,Y,97,00:04:47,287,1
ID1814,Becky,01-02-2021,13:58:05,Contract related,Y,Y,60,00:02:10,130,1
ID1839,Becky,01-02-2021,17:39:50,Technical Support,Y,Y,125,00:02:24,144,4
ID1856,Becky,02-02-2021,11:05:17,Technical Support,Y,Y,25,00:04:58,298,5
ID1857,Becky,02-02-2021,11:18:14,Streaming,Y,Y,102,00:06:37,397,4
ID1859,Becky,02-02-2021,13:06:14,Streaming,Y,Y,40,00:01:42,102,5
ID1868,Becky,02-02-2021,14:00:58,Contract related,Y,Y,48,00:01:18,78,4
ID1887,Becky,03-02-2021,09:41:46,Contract related,Y,Y,86,00:00:44,44,5
ID1903,Becky,03-02-2021,11:13:55,Admin Support,Y,N,107,00:01:17,77,4
ID1934,Becky,03-02-2021,14:45:36,Payment related,Y,Y,59,00:06:59,419,1
ID1941,Becky,03-02-2021,16:32:10,Streaming,Y,N,115,00:03:16,196,3
ID1968,Becky,04-02-2021,10:33:36,Payment related,Y,Y,45,00:05:04,304,1
ID1969,Becky,04-02-2021,10:58:05,Payment related,Y,Y,66,00:05:32,332,4
ID1971,Becky,04-02-2021,11:02:24,Admin Support,Y,Y,11,00:02:13,133,4
ID1973,Becky,04-02-2021,11:39:50,Contract related,Y,Y,31,00:00:42,42,3
ID1982,Becky,04-02-2021,12:14:24,Admin Support,Y,Y,17,00:05:45,345,4
ID1986,Becky,04-02-2021,12:20:10,Technical Support,Y,Y,119,00:04:20,260,3
ID1997,Becky,04-02-2021,13:53:46,Contract related,Y,Y,125,00:04:28,268,4
ID2005,Becky,04-02-2021,15:02:53,Admin Support,Y,Y,47,00:03:08,188,4
ID2018,Becky,04-02-2021,17:00:58,Technical Support,Y,Y,51,00:02:17,137,3
ID2021,Becky,04-02-2021,17:44:10,Technical Support,Y,N,59,00:01:03,63,3
ID2025,Becky,04-02-2021,17:57:07,Technical Support,Y,Y,22,00:02:56,176,1
ID2048,Becky,05-02-2021,11:35:31,Payment related,Y,Y,36,00:05:11,311,4
ID2068,Becky,05-02-2021,13:43:41,Technical Support,Y,Y,68,00:01:07,67,3
ID2077,Becky,05-02-2021,14:47:02,Admin Support,Y,Y,78,00:06:12,372,3
ID2082,Becky,05-02-2021,15:14:24,Payment related,Y,Y,105,00:03:34,214,4
ID2088,Becky,05-02-2021,16:17:46,Admin Support,Y,Y,25,00:06:44,404,5
ID2097,Becky,05-02-2021,17:44:10,Technical Support,Y,Y,50,00:05:16,316,3
ID2102,Becky,06-02-2021,09:57:36,Payment related,Y,Y,23,00:02:26,146,3
ID2103,Becky,06-02-2021,09:59:02,Contract related,Y,Y,108,00:03:43,223,2
ID2106,Becky,06-02-2021,10:46:34,Admin Support,Y,Y,116,00:01:22,82,4
ID2113,Becky,06-02-2021,11:32:38,Contract related,Y,Y,15,00:06:23,383,5
ID2114,Becky,06-02-2021,11:32:38,Admin Support,N,N,,,0,
ID2116,Becky,06-02-2021,11:38:24,Payment related,N,N,,,0,
ID2117,Becky,06-02-2021,11:55:41,Admin Support,Y,Y,82,00:02:03,123,4
ID2125,Becky,06-02-2021,12:53:17,Technical Support,Y,Y,100,00:02:23,143,1
ID2128,Becky,06-02-2021,13:03:22,Streaming,Y,N,26,00:03:30,210,3
ID2135,Becky,06-02-2021,14:55:41,Technical Support,Y,Y,44,00:06:35,395,4
ID2146,Becky,06-02-2021,17:35:31,Streaming,Y,Y,44,00:05:05,305,3
ID2147,Becky,06-02-2021,17:35:31,Payment related,Y,Y,84,00:03:33,213,5
ID2156,Becky,07-02-2021,10:00:29,Payment related,N,N,,,0,
ID2165,Becky,07-02-2021,11:24:00,Payment related,Y,Y,51,00:06:01,361,2
ID2167,Becky,07-02-2021,11:24:00,Contract related,Y,Y,30,00:01:58,118,4
ID2169,Becky,07-02-2021,11:25:26,Admin Support,Y,Y,45,00:02:40,160,1
ID2172,Becky,07-02-2021,12:48:58,Contract related,Y,Y,99,00:04:06,246,4
ID2177,Becky,07-02-2021,13:48:00,Payment related,Y,Y,111,00:06:44,404,5
ID2193,Becky,07-02-2021,16:30:43,Admin Support,Y,Y,53,00:03:54,234,2
ID2195,Becky,07-02-2021,16:30:43,Technical Support,Y,Y,18,00:04:17,257,4
ID2200,Becky,07-02-2021,16:39:22,Payment related,N,N,,,0,
ID2206,Becky,08-02-2021,09:00:00,Contract related,Y,Y,17,00:05:49,349,4
ID2207,Becky,08-02-2021,09:15:50,Admin Support,Y,Y,116,00:04:05,245,4
ID2210,Becky,08-02-2021,09:23:02,Admin Support,Y,Y,120,00:02:41,161,5
ID2224,Becky,08-02-2021,14:24:00,Streaming,Y,N,71,00:01:39,99,4
ID2227,Becky,08-02-2021,14:34:05,Streaming,Y,Y,36,00:02:36,156,5
ID2231,Becky,08-02-2021,14:55:41,Payment related,N,N,,,0,
ID2247,Becky,09-02-2021,09:12:58,Payment related,Y,Y,83,00:01:16,76,5
ID2252,Becky,09-02-2021,10:10:34,Technical Support,Y,Y,83,00:05:13,313,5
ID2265,Becky,09-02-2021,12:47:31,Contract related,N,N,,,0,
ID2279,Becky,09-02-2021,14:29:46,Payment related,Y,N,47,00:06:42,402,3
ID2290,Becky,09-02-2021,16:20:38,Admin Support,Y,Y,59,00:04:36,276,3
ID2302,Becky,09-02-2021,17:57:07,Streaming,Y,Y,53,00:01:08,68,4
ID2310,Becky,10-02-2021,10:37:55,Contract related,N,N,,,0,
ID2312,Becky,10-02-2021,11:03:50,Payment related,Y,Y,116,00:06:13,373,3
ID2319,Becky,10-02-2021,11:31:12,Contract related,Y,Y,63,00:02:38,158,3
ID2321,Becky,10-02-2021,11:51:22,Payment related,N,N,,,0,
ID2326,Becky,10-02-2021,12:20:10,Technical Support,N,N,,,0,
ID2331,Becky,10-02-2021,12:59:02,Payment related,Y,Y,65,00:02:42,162,5
ID2341,Becky,10-02-2021,15:05:46,Payment related,Y,Y,64,00:02:50,170,5
ID2348,Becky,10-02-2021,16:26:24,Technical Support,N,N,,,0,
ID2354,Becky,10-02-2021,17:08:10,Technical Support,Y,Y,30,00:06:31,391,1
ID2367,Becky,11-02-2021,09:11:31,Payment related,N,N,,,0,
ID2376,Becky,11-02-2021,10:23:31,Streaming,Y,Y,107,00:01:45,105,5
ID2382,Becky,11-02-2021,11:12:29,Streaming,Y,Y,63,00:05:52,352,4
ID2384,Becky,11-02-2021,11:54:14,Admin Support,N,N,,,0,
ID2388,Becky,11-02-2021,12:00:00,Admin Support,Y,Y,66,00:03:11,191,4
ID2389,Becky,11-02-2021,12:00:00,Payment related,N,N,,,0,
ID2390,Becky,11-02-2021,12:00:00,Admin Support,N,N,,,0,
ID2405,Becky,11-02-2021,13:12:00,Technical Support,Y,Y,16,00:05:12,312,4
ID2423,Becky,11-02-2021,15:04:19,Payment related,Y,Y,84,00:03:15,195,2
ID2428,Becky,11-02-2021,15:59:02,Technical Support,Y,Y,119,00:06:23,383,3
ID2434,Becky,11-02-2021,17:02:24,Contract related,Y,Y,91,00:06:08,368,2
ID2441,Becky,12-02-2021,10:13:26,Streaming,Y,Y,35,00:02:31,151,4
ID2445,Becky,12-02-2021,10:24:58,Admin Support,Y,Y,107,00:03:50,230,5
ID2446,Becky,12-02-2021,10:24:58,Streaming,Y,Y,21,00:07:00,420,5
ID2449,Becky,12-02-2021,10:32:10,Technical Support,Y,Y,32,00:01:52,112,3
ID2450,Becky,12-02-2021,10:32:10,Contract related,N,N,,,0,
ID2457,Becky,12-02-2021,11:26:53,Technical Support,Y,Y,99,00:06:55,415,5
ID2477,Becky,12-02-2021,17:52:48,Streaming,Y,Y,61,00:01:11,71,4
ID2479,Becky,12-02-2021,17:52:48,Streaming,Y,Y,110,00:05:26,326,4
ID2487,Becky,13-02-2021,09:41:46,Contract related,N,N,,,0,
ID2497,Becky,13-02-2021,11:03:50,Streaming,Y,Y,82,00:05:12,312,3
ID2515,Becky,13-02-2021,13:16:19,Payment related,Y,Y,89,00:04:15,255,4
ID2526,Becky,13-02-2021,15:33:07,Streaming,Y,Y,79,00:05:10,310,5
ID2545,Becky,14-02-2021,10:30:43,Technical Support,Y,Y,84,00:06:00,360,4
ID2557,Becky,14-02-2021,13:13:26,Technical Support,Y,Y,102,00:05:53,353,4
ID2558,Becky,14-02-2021,13:13:26,Technical Support,Y,Y,82,00:03:19,199,3
